County,State,Population,White Population,Black Population,Hispanic Population,Asian Population,Native Hawaiian or Pacific Islander,Median Age,Employed,Unemployed,Household Income,Per Capita Income,Avg Rent,Avg Rent plus Utilities,Median Home Value,Avg Monthly Cost of Home,High School,College,Advanced Degree,Poverty Count,Poverty Rate,Family Poverty,Male Family Poverty,Female Family Poverty,White Poverty,Black Poverty,Hispanic Poverty,Asian Poverty,Native Hawaiian or Pacific Islander Poverty
Bibb County, Alabama,22604.0,17327.0,4846.0,502.0,21.0,0.0,38.9,9049.0,9290.0,38678.0,18431.0,416.0,651.0,102700.0,1030.0,6859,1900,718,3488.0,15.4308971863387,680.0,31.0,380.0,2378.0,1092.0,175.0,0.0,0.0
Blount County, Alabama,57710.0,54881.0,884.0,4980.0,83.0,0.0,40.7,24065.0,21774.0,45813.0,20532.0,402.0,601.0,119800.0,1075.0,13699,7246,1684,9552.0,16.551724137931036,1918.0,125.0,818.0,8932.0,109.0,1964.0,28.0,0.0
Bullock County, Alabama,10678.0,2845.0,7550.0,473.0,22.0,0.0,39.3,4712.0,3941.0,31938.0,17580.0,303.0,570.0,68600.0,1006.0,2852,716,547,2486.0,23.281513392020976,530.0,45.0,454.0,267.0,2206.0,114.0,13.0,0.0
Butler County, Alabama,20354.0,11023.0,8961.0,240.0,81.0,0.0,40.5,8802.0,7413.0,32229.0,18390.0,346.0,575.0,78900.0,944.0,5523,2330,859,5094.0,25.02702171563329,1083.0,70.0,679.0,1773.0,3238.0,77.0,0.0,0.0
Calhoun County, Alabama,116648.0,87615.0,23895.0,4075.0,1000.0,7.0,39.1,54338.0,39008.0,41703.0,21374.0,443.0,637.0,105900.0,1031.0,26092,13971,5381,23325.0,19.996056511899045,5042.0,340.0,3319.0,13435.0,8845.0,998.0,50.0,7.0
Chambers County, Alabama,34079.0,19652.0,13738.0,152.0,260.0,9.0,43.0,15053.0,12439.0,34177.0,21071.0,414.0,658.0,80800.0,877.0,9507,3645,959,7273.0,21.341588661639133,1482.0,160.0,920.0,2931.0,4173.0,66.0,0.0,0.0
Cherokee County, Alabama,26008.0,24167.0,1281.0,391.0,88.0,4.0,45.4,11026.0,10216.0,36296.0,21811.0,383.0,621.0,105100.0,1102.0,7148,2832,1098,4918.0,18.909566287296215,1232.0,98.0,508.0,4349.0,328.0,158.0,63.0,0.0
Chilton County, Alabama,43819.0,36828.0,4528.0,3350.0,126.0,0.0,38.8,19709.0,14639.0,41627.0,21399.0,448.0,661.0,100100.0,990.0,11993,4839,1478,8288.0,18.914169652433877,1724.0,109.0,788.0,5919.0,1408.0,1282.0,49.0,0.0
Choctaw County, Alabama,13395.0,7487.0,5801.0,48.0,0.0,0.0,44.9,5097.0,5803.0,33536.0,20755.0,312.0,497.0,61100.0,934.0,3680,1410,425,3093.0,23.09070548712206,602.0,16.0,444.0,1146.0,1929.0,48.0,0.0,0.0
Clarke County, Alabama,25070.0,13427.0,11346.0,85.0,90.0,96.0,41.1,10122.0,10006.0,32011.0,20064.0,362.0,545.0,86900.0,1007.0,7757,2643,777,6107.0,24.359792580773835,1135.0,69.0,623.0,2330.0,3696.0,40.0,23.0,0.0
Clay County, Alabama,13537.0,11065.0,1963.0,430.0,0.0,0.0,43.8,5720.0,5213.0,35327.0,18905.0,292.0,451.0,84100.0,971.0,3625,1332,362,2201.0,16.259141611878555,483.0,48.0,317.0,1465.0,529.0,13.0,0.0,0.0
Cleburne County, Alabama,15002.0,14098.0,442.0,345.0,53.0,0.0,41.3,6614.0,5246.0,38056.0,20151.0,367.0,557.0,108000.0,1048.0,4089,1201,536,2508.0,16.717770963871484,432.0,20.0,246.0,2175.0,106.0,237.0,3.0,0.0
Coffee County, Alabama,50884.0,39067.0,8829.0,3276.0,627.0,0.0,38.8,23886.0,16275.0,46729.0,24936.0,495.0,683.0,142400.0,1174.0,10678,8507,2973,8581.0,16.863847181825328,1762.0,164.0,1019.0,5150.0,2769.0,802.0,61.0,0.0
Colbert County, Alabama,54444.0,43311.0,8478.0,1321.0,178.0,35.0,42.2,23432.0,20740.0,40576.0,22546.0,418.0,632.0,99400.0,994.0,13564,7133,2764,9406.0,17.276467563000516,2095.0,149.0,1087.0,6375.0,2129.0,515.0,0.0,0.0
Conecuh County, Alabama,12865.0,6710.0,5752.0,210.0,6.0,0.0,43.7,4802.0,5478.0,24900.0,15968.0,328.0,522.0,70100.0,820.0,4122,1028,332,4320.0,33.57947920715119,1045.0,76.0,531.0,1381.0,2823.0,69.0,0.0,0.0
Coosa County, Alabama,11027.0,7427.0,3384.0,237.0,0.0,0.0,45.1,4642.0,4588.0,31212.0,17519.0,336.0,597.0,78300.0,854.0,3172,929,271,2073.0,18.799310782624467,417.0,20.0,162.0,1029.0,1044.0,60.0,0.0,0.0
Covington County, Alabama,37886.0,31954.0,4933.0,580.0,117.0,23.0,42.6,16032.0,14487.0,36444.0,20977.0,362.0,599.0,93600.0,944.0,9207,5094,1242,7515.0,19.835823259251438,1661.0,170.0,984.0,5408.0,1958.0,44.0,11.0,0.0
