state,abbr,population,age,householdincome,rental,mortgage,highschool,college,unemployment,poverty
Alabama,AL,4830620,38.4,43623,717,1139,21.67777635,20.97008252,33.21403878,18.36741453
Alaska,AK,733375,33.4,72515,1146,1827,18.04002045,22.85870121,22.6534856,9.948116584
Arizona,AZ,6641928,36.8,50255,913,1343,16.90596465,23.63137631,31.62935521,17.77631435
Arkansas,AR,2958208,37.7,41371,677,1019,23.94324537,18.1740094,32.53973351,18.71551967
California,CA,38421464,35.8,61818,1255,2155,15.3152441,25.79158878,28.74169501,15.96800684
Colorado,CO,5278906,36.3,60629,1002,1577,15.13764405,30.96868935,24.9367009,12.38834334
Connecticut,CT,3593222,40.4,70331,1075,2067,19.47154949,30.86077064,26.27332795,10.19561274
Delaware,DE,926454,39.3,60509,1018,1537,21.96881874,25.5777405,29.3529954,11.69135219
District of Columbia,DC,647484,33.7,70848,1327,2294,13.42040884,40.43219601,26.2142385,17.04520884
Florida,FL,19645772,41.4,47507,1002,1435,21.7464399,25.84266986,33.42753342,16.18724375
Georgia,GA,10006693,35.9,49620,879,1346,19.29769405,23.37384588,28.8386383,17.87750459
Hawaii,HI,1406299,38,69515,1438,2270,19.80851867,28.13029093,27.98494488,10.94674746
Idaho,ID,1616547,35.5,47583,743,1189,18.2076364,22.35047914,28.33434475,15.16671028
Illinois,IL,12873761,37.3,57574,907,1636,18.71574282,26.69596709,27.10649203,13.99061238
Indiana,IN,6568645,37.3,49255,745,1102,23.34760061,21.25082114,28.32022434,14.88957007
Iowa,IA,3093526,38.1,53183,697,1171,21.81054887,25.01165337,25.55119951,12.08598214
Kansas,KS,2892987,36,52205,757,1282,18.0238971,25.19669117,25.60543825,13.18198112
Kentucky,KY,4397353,38.5,43740,675,1112,23.34790953,20.02006662,32.12525808,18.32559269
Louisiana,LA,4625253,36.1,45047,788,1200,23.12660518,18.45892538,30.81548188,19.20500349
Maine,ME,1329100,43.8,49331,777,1336,24.24490257,27.59431194,30.10774208,13.56391543
Maryland,MD,5930538,38.2,74551,1230,1951,18.01204208,30.00105555,25.22845314,9.726014739
Massachusetts,MA,6705586,39.3,68563,1102,2063,18.37989998,33.16989746,26.52715214,11.16837514
Michigan,MI,9900571,39.5,49576,783,1257,20.81233497,24.11062958,31.01824127,16.33107828
Minnesota,MN,5419171,37.7,61492,848,1490,18.18567822,29.8105928,23.69653956,11.01020802
Mississippi,MS,2988081,36.5,39665,717,1077,20.60118183,18.99965229,32.8023571,21.80479713
Missouri,MO,6045448,38.2,48173,746,1210,21.50037516,23.13386866,28.94306592,15.15143295
Montana,MT,1014699,39.7,47169,711,1294,20.77581628,25.75561817,28.90817868,14.84046008
Nebraska,NE,1869365,36.2,52997,726,1270,18.59043044,25.49523501,23.20242435,12.36328914
Nevada,NV,2798636,37.2,51847,973,1442,20.04555076,20.77219045,28.08378796,15.23374244
New Hampshire,NH,1324201,42.2,66779,1000,1870,20.53260797,31.06983003,26.02610933,8.596882195
New Jersey,NJ,8904413,39.4,72093,1192,2386,20.45334151,29.50115858,27.15109912,10.61099704
New Mexico,NM,2084117,37,44963,777,1227,18.2172594,22.42148593,31.64021022,20.60157851
New York,NY,19673174,38.1,59269,1132,2022,19.50443279,29.17920108,29.55628309,15.27940026
North Carolina,NC,9845333,38,46868,797,1248,18.68407092,24.94749543,29.49098827,16.93660336
North Dakota,ND,721640,35.4,57181,709,1243,18.14602849,26.53483732,23.66706391,11.05232526
Ohio,OH,11575977,39.2,49429,730,1246,23.65375294,23.17895068,29.17397814,15.34070083
Oklahoma,OK,3849733,36.2,46879,727,1147,21.28334614,20.4784072,29.84931682,16.21003327
Oregon,OR,3939233,39.1,51243,907,1557,17.45796707,27.00903958,30.49718054,16.16931519
Pennsylvania,PA,12779559,40.5,53599,840,1425,25.77858125,25.19988366,30.22836704,13.04089601
Rhode Island,RI,1053661,39.7,56852,925,1815,19.76072,27.6063174,28.04991359,13.68779902
South Carolina,SC,4777576,38.6,45483,790,1183,20.77854962,23.37610119,31.24266364,17.39168566
South Dakota,SD,843190,36.8,50957,655,1210,20.82757148,24.64889289,24.17177623,13.62765213
Tennessee,TN,6499615,38.4,45219,764,1181,23.01096296,21.22831891,30.80853251,17.19477231
Texas,TX,26538614,34.1,53207,882,1432,17.12970768,21.63741859,26.90185704,16.8526171
Utah,UT,2903379,30.1,60727,887,1428,13.81386998,23.4661751,23.18732759,12.1100621
Vermont,VT,626604,42.4,55176,895,1535,21.32798386,30.8965471,27.60547331,11.04892404
Virginia,VA,8256630,37.6,65015,1116,1711,17.53588328,29.38035252,26.91376506,11.1646277
Washington,WA,6985464,37.4,61062,1014,1731,16.46994387,28.81046986,28.37863025,13.00575023
West Virginia,WV,1851420,41.8,41751,643,966,29.14660099,18.05268389,37.63478843,17.46680926
Wisconsin,WI,5742117,39,53357,776,1402,22.16180896,25.56858385,26.19720218,12.61465066
Wyoming,WY,579679,36.8,58840,789,1348,19.65242833,23.86751978,25.06024886,11.21223988
