state,abbr, population ,age,householdincome,rental,mortgage,highschool,college,unemployment,poverty
Alabama,AL,4850771,38.7,46472,747,1149,21.7,22.1,33.9,17.5
Alaska,AK,738565,33.9,76114,1200,1862,18.2,24.1,23.1,9.9
Arizona,AZ,6809946,37.2,53510,972,1354,17,24.5,31.9,16.6
Arkansas,AR,2977944,37.9,43813,709,1039,23.7,19.1,33.1,17.6
California,CA,38982847,36.1,67169,1358,2206,15.5,26.9,29,14.8
Colorado,CO,5436519,36.5,65458,1125,1623,15.2,32.3,25.3,11.3
Connecticut,CT,3594478,40.8,73781,1123,2065,19.4,31.8,27.1,9.8
Delaware,DE,943732,39.8,63036,1076,1533,22.3,26.8,30.5,11.8
District of Columbia,DC,672391,33.9,77649,1424,2375,13.3,42.4,25.6,16.5
Florida,FL,20278447,41.8,50883,1077,1432,21.6,27.1,33.9,15.1
Georgia,GA,10201635,36.4,52977,927,1351,19.3,24.6,29,16.5
Hawaii,HI,1421658,38.8,74923,1507,2303,19.9,29.4,28.1,10.1
Idaho,ID,1657375,35.9,50985,792,1195,18.3,23.3,28.8,14.2
Illinois,IL,12854526,37.7,61229,952,1633,18.6,27.9,27.6,13.2
Indiana,IN,6614418,37.5,52182,782,1109,22.9,22.4,28.5,14.1
Iowa,IA,3118102,38.1,56570,740,1202,21.4,25.9,25.7,11.6
Kansas,KS,2903820,36.3,55477,801,1310,17.6,26.4,26,12.4
Kentucky,KY,4424376,38.6,46535,713,1131,23.1,21,32.4,17.7
Louisiana,LA,4663461,36.4,46710,825,1234,23.3,19.3,31.5,19
Maine,ME,1330158,44.3,53024,808,1357,23.8,29.1,30.6,12.5
Maryland,MD,5996079,38.5,78916,1311,1954,17.9,31.1,25.6,9.5
Massachusetts,MA,6789319,39.4,74167,1173,2102,18.1,34.5,26.8,10.7
Michigan,MI,9925568,39.6,52668,824,1251,20.5,25.3,31.2,15.2
Minnesota,MN,5490726,37.9,65699,906,1506,17.9,30.9,23.9,10.2
Mississippi,MS,2986220,36.9,42009,740,1105,20.8,19.9,33.2,20.8
Missouri,MO,6075300,38.4,51542,784,1225,21.4,24.2,29.3,14.2
Montana,MT,1029862,39.8,50801,751,1344,20.4,27,29.3,14
Nebraska,NE,1893921,36.3,56675,773,1315,18.1,26.6,23.4,11.6
Nevada,NV,2887725,37.7,55434,1017,1422,20.3,21.7,28.6,14
New Hampshire,NH,1331848,42.7,71305,1052,1878,20.1,32.5,26.5,7.8
New Jersey,NJ,8960161,39.6,76475,1249,2398,20.1,30.7,27.6,10.5
New Mexico,NM,2084828,37.3,46718,809,1244,18.4,23.2,32.7,20.2
New York,NY,19798228,38.4,62765,1194,2064,19.5,30.3,29.8,14.7
North Carolina,NC,10052564,38.4,50320,844,1261,18.5,26.4,29.9,15.7
North Dakota,ND,745475,35.1,61285,775,1326,18,27.6,23.4,10.6
Ohio,OH,11609756,39.3,52407,764,1247,23.4,24.3,29.4,14.5
Oklahoma,OK,3896251,36.3,49767,766,1181,21.3,21.3,30.1,15.7
Oregon,OR,4025127,39.2,56119,988,1594,17,28.5,30.6,14.6
Pennsylvania,PA,12790505,40.7,56951,885,1446,25.4,26.6,30.5,12.7
Rhode Island,RI,1056138,39.9,61043,957,1803,20.3,28.5,28.7,12.9
South Carolina,SC,4893444,39,48781,836,1202,20.8,24.7,31.6,16.2
South Dakota,SD,855444,36.8,54126,696,1255,20.4,25.7,24.4,13.4
Tennessee,TN,6597381,38.6,48708,808,1196,22.9,22.4,31,16.3
Texas,TX,27419612,34.3,57051,952,1484,17.2,22.7,27.1,15.7
Utah,UT,2993941,30.5,65325,948,1455,13.8,24.6,23.3,10.9
Vermont,VT,624636,42.8,57808,945,1563,21.1,31.8,28.4,10.9
Virginia,VA,8365952,38,68766,1166,1728,17.3,30.6,27.2,10.8
Washington,WA,7169967,37.6,66174,1120,1763,16.1,30.3,28.6,12
West Virginia,WV,1836843,42.2,44061,681,997,29.1,18.9,38,17.3
Wisconsin,WI,5763217,39.2,56759,813,1399,21.8,26.8,26.6,12
Wyoming,WY,583200,37,60938,828,1389,19.4,25.1,25.6,10.9
